Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.34"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.35"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.37"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.38"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.39"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.41"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.42"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.43"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.44"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.46"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.48"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.49"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.50"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.51"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.52"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.53"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.55"}
