Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.02"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.03"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.04"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.06"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.07"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.08"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.09"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.11"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.13"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.14"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.15"}
