Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.50"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.51"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.53"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.54"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.56"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.58"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.6, mem = 0.8, time = "0:02.59"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.61"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.62"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.63"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.65"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.67"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.68"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.70"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.71"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.72"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.74"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.76"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.77"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.78"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.80"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:02.82"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.83"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.84"}
