PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
2521 fiendfa+ 20 0 224088 119408 27832 S 20.0 0.7 0:04.22 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.23 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:04.24 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.25 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.27 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:04.28 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.29 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.31 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:04.32 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.34 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.36 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.37 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.38 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.40 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.41 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.42 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.44 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.45 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.47 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.49 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.50 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.51 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.52 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.54 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.55 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.57 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.59 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.60 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.62 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.63 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.64 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.66 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.67 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.68 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.70 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.72 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.74 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.76 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.78 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.80 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.82 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 20.0 0.7 0:04.85 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.86 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.88 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.89 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.91 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:04.93 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:04.94 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.96 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:04.98 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:05.00 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:05.02 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 13.3 0.7 0:05.04 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 46.6 0.8 0:05.11 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.12 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 13.3 0.8 0:05.14 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.16 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.17 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 13.3 0.8 0:05.19 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 13.3 0.8 0:05.21 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.23 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 13.3 0.8 0:05.25 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.27 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.28 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 13.3 0.8 0:05.30 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 13.3 0.8 0:05.32 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.33 Main
[1m12521 fiendfa+ 20 0 242016 136768 27968 R 6.7 0.8 0:05.35 Main
2521 fiendfa+ 20 0 242016 136768 27968 S 6.7 0.8 0:05.36 Main
